time alarm_type valid invalid real
186 operationsDiagnosisCommunications 0 9 19
21 fieldElementFailure 1 7 36
47 fieldElementFailure 7 4 56
45 fieldElementFailure 7 3 74
173 operationsDiagnosisCommunications 2 8 7
57 fieldElementFailure 2 10 31
106 fieldElementFailure 6 4 33
71 fieldElementFailure 4 7 40
234 operationsDiagnosisCommunications 0 6 12
83 fieldElementFailure 0 7 1
55 operationsDiagnosisCommunications 0 7 3
313 operationsDiagnosisCommunications 0 2 0
116 operationsDiagnosisCommunications 2 6 20
107 fieldElementFailure 7 2 53
309 fieldElementFailure 0 3 0
300 operationsDiagnosisCommunications 0 4 0
269 fieldElementFailure 1 8 30
103 operationsDiagnosisCommunications 0 9 0
182 operationsDiagnosisCommunications 1 4 34
138 fieldElementFailure 0 9 1
243 operationsDiagnosisCommunications 2 3 25
164 fieldElementFailure 1 1 53
162 fieldElementFailure 0 5 7
190 fieldElementFailure 0 3 36
139 fieldElementFailure 0 9 5
188 fieldElementFailure 0 4 21
143 operationsDiagnosisCommunications 3 9 27
35 operationsDiagnosisCommunications 10 0 48
214 fieldElementFailure 0 6 1
309 operationsDiagnosisCommunications 0 2 0
96 operationsDiagnosisCommunications 1 4 12
224 fieldElementFailure 2 4 37
162 operationsDiagnosisCommunications 4 3 44
239 operationsDiagnosisCommunications 0 4 2
210 operationsDiagnosisCommunications 2 4 10
31 operationsDiagnosisCommunications 9 0 49
289 operationsDiagnosisCommunications 5 2 60
120 fieldElementFailure 6 7 48
92 operationsDiagnosisCommunications 2 2 41
297 fieldElementFailure 0 8 0
158 operationsDiagnosisCommunications 2 5 7
219 operationsDiagnosisCommunications 1 1 21
142 fieldElementFailure 0 9 60
24 operationsDiagnosisCommunications 2 6 55
152 fieldElementFailure 0 9 0
166 fieldElementFailure 0 2 0
176 fieldElementFailure 2 5 41
11 operationsDiagnosisCommunications 2 1 45
285 operationsDiagnosisCommunications 2 6 17
72 operationsDiagnosisCommunications 0 7 11
181 fieldElementFailure 2 9 19
207 fieldElementFailure 0 5 0
205 fieldElementFailure 1 1 40
318 fieldElementFailure 0 1 0
10 fieldElementFailure 5 1 49
231 fieldElementFailure 6 4 39
138 operationsDiagnosisCommunications 1 10 6
215 operationsDiagnosisCommunications 0 6 17
34 fieldElementFailure 0 7 4
20 operationsDiagnosisCommunications 0 2 15
169 operationsDiagnosisCommunications 2 5 28
60 fieldElementFailure 9 4 64
252 operationsDiagnosisCommunications 3 2 13
7 operationsDiagnosisCommunications 1 0 14
265 operationsDiagnosisCommunications 3 4 33
68 operationsDiagnosisCommunications 0 3 11
147 operationsDiagnosisCommunications 4 11 34
134 operationsDiagnosisCommunications 0 11 0
195 operationsDiagnosisCommunications 2 3 16
133 fieldElementFailure 0 13 14
261 operationsDiagnosisCommunications 5 3 56
48 operationsDiagnosisCommunications 0 8 1
159 fieldElementFailure 0 5 7
125 operationsDiagnosisCommunications 1 9 8
169 fieldElementFailure 1 2 57
218 fieldElementFailure 0 6 10
183 fieldElementFailure 0 7 5
195 fieldElementFailure 1 2 46
244 fieldElementFailure 4 4 43
193 fieldElementFailure 0 4 0
242 fieldElementFailure 3 3 29
14 fieldElementFailure 0 5 0
219 fieldElementFailure 3 2 37
12 fieldElementFailure 5 0 51
191 operationsDiagnosisCommunications 5 3 49
24 fieldElementFailure 0 5 66
38 fieldElementFailure 7 0 64
270 operationsDiagnosisCommunications 2 2 26
57 operationsDiagnosisCommunications 0 6 18
48 fieldElementFailure 0 11 1
44 operationsDiagnosisCommunications 1 6 18
276 fieldElementFailure 3 2 39
274 fieldElementFailure 2 6 14
105 operationsDiagnosisCommunications 1 4 6
77 fieldElementFailure 0 12 0
302 fieldElementFailure 0 3 0
300 fieldElementFailure 0 5 0
184 operationsDiagnosisCommunications 4 4 24
312 fieldElementFailure 0 3 0
171 operationsDiagnosisCommunications 3 5 16
232 operationsDiagnosisCommunications 3 1 79
53 operationsDiagnosisCommunications 0 8 2
298 operationsDiagnosisCommunications 0 3 0
101 operationsDiagnosisCommunications 5 4 35
180 operationsDiagnosisCommunications 2 4 24
167 operationsDiagnosisCommunications 3 3 47
228 operationsDiagnosisCommunications 4 2 29
33 operationsDiagnosisCommunications 3 6 31
5 fieldElementFailure 3 0 45
110 operationsDiagnosisCommunications 1 4 22
31 fieldElementFailure 3 5 49
29 fieldElementFailure 5 2 45
294 operationsDiagnosisCommunications 0 10 0
41 fieldElementFailure 1 5 10
90 fieldElementFailure 0 8 2
81 operationsDiagnosisCommunications 0 2 2
264 fieldElementFailure 2 7 17
67 fieldElementFailure 11 4 60
116 fieldElementFailure 3 8 54
65 fieldElementFailure 9 4 41
160 operationsDiagnosisCommunications 1 5 8
288 fieldElementFailure 1 5 12
91 fieldElementFailure 0 9 7
113 fieldElementFailure 4 8 38
293 fieldElementFailure 0 3 0
208 operationsDiagnosisCommunications 3 2 39
319 fieldElementFailure 0 1 0
317 fieldElementFailure 0 1 0
29 operationsDiagnosisCommunications 4 5 22
303 operationsDiagnosisCommunications 0 4 0
90 operationsDiagnosisCommunications 0 8 0
148 fieldElementFailure 0 7 54
155 operationsDiagnosisCommunications 2 7 8
274 operationsDiagnosisCommunications 1 5 7
77 operationsDiagnosisCommunications 1 1 14
172 fieldElementFailure 0 4 0
156 operationsDiagnosisCommunications 3 7 6
217 operationsDiagnosisCommunications 4 0 52
208 fieldElementFailure 1 4 14
230 fieldElementFailure 3 5 46
204 operationsDiagnosisCommunications 2 6 11
9 operationsDiagnosisCommunications 0 1 41
283 operationsDiagnosisCommunications 1 4 22
86 operationsDiagnosisCommunications 0 4 0
19 fieldElementFailure 5 1 44
136 operationsDiagnosisCommunications 0 10 7
104 fieldElementFailure 0 9 1
213 operationsDiagnosisCommunications 2 4 10
271 fieldElementFailure 4 6 26
281 fieldElementFailure 2 3 9
5 operationsDiagnosisCommunications 1 0 79
279 operationsDiagnosisCommunications 4 3 33
66 operationsDiagnosisCommunications 0 4 3
220 operationsDiagnosisCommunications 0 2 15
136 fieldElementFailure 0 12 7
150 fieldElementFailure 0 8 7
114 operationsDiagnosisCommunications 3 3 34
132 operationsDiagnosisCommunications 6 7 23
87 fieldElementFailure 8 1 78
193 operationsDiagnosisCommunications 3 3 19
165 fieldElementFailure 0 2 1
14 operationsDiagnosisCommunications 5 0 51
189 fieldElementFailure 0 4 34
215 fieldElementFailure 1 2 9
259 operationsDiagnosisCommunications 0 4 10
62 operationsDiagnosisCommunications 0 5 49
18 fieldElementFailure 6 0 63
123 operationsDiagnosisCommunications 3 8 13
44 fieldElementFailure 2 9 49
189 operationsDiagnosisCommunications 5 5 38
250 operationsDiagnosisCommunications 0 4 8
320 fieldElementFailure 0 1 0
111 fieldElementFailure 0 10 1
237 operationsDiagnosisCommunications 0 5 10
121 fieldElementFailure 6 7 42
42 operationsDiagnosisCommunications 2 6 11
316 operationsDiagnosisCommunications 0 2 0
119 operationsDiagnosisCommunications 9 0 104
143 fieldElementFailure 0 8 47
141 fieldElementFailure 0 8 59
246 operationsDiagnosisCommunications 3 3 15
153 fieldElementFailure 0 7 1
167 fieldElementFailure 1 1 49
51 operationsDiagnosisCommunications 0 7 2
179 fieldElementFailure 0 7 1
228 fieldElementFailure 0 7 4
177 fieldElementFailure 2 5 35
226 fieldElementFailure 3 4 56
220 fieldElementFailure 5 1 55
254 fieldElementFailure 1 4 24
203 fieldElementFailure 1 0 37
38 operationsDiagnosisCommunications 11 0 96
296 operationsDiagnosisCommunications 0 3 0
8 fieldElementFailure 4 1 52
99 operationsDiagnosisCommunications 0 8 6
22 fieldElementFailure 6 0 22
32 fieldElementFailure 8 0 73
165 operationsDiagnosisCommunications 1 6 15
260 fieldElementFailure 2 5 41
258 fieldElementFailure 4 4 51
226 operationsDiagnosisCommunications 3 2 15
286 fieldElementFailure 4 1 56
284 fieldElementFailure 3 0 52
47 operationsDiagnosisCommunications 4 3 9
296 fieldElementFailure 0 8 0
310 fieldElementFailure 0 3 0
18 operationsDiagnosisCommunications 3 3 26
292 operationsDiagnosisCommunications 4 5 11
95 operationsDiagnosisCommunications 3 3 32
280 fieldElementFailure 0 5 0
174 operationsDiagnosisCommunications 3 4 26
145 operationsDiagnosisCommunications 5 9 28
222 operationsDiagnosisCommunications 0 2 7
27 operationsDiagnosisCommunications 0 7 4
88 operationsDiagnosisCommunications 2 3 28
81 fieldElementFailure 5 5 52
272 operationsDiagnosisCommunications 3 4 22
75 operationsDiagnosisCommunications 0 3 8
154 operationsDiagnosisCommunications 1 10 7
245 fieldElementFailure 3 6 48
15 fieldElementFailure 3 2 19
13 fieldElementFailure 0 4 35
141 operationsDiagnosisCommunications 3 9 18
25 fieldElementFailure 4 3 52
74 fieldElementFailure 0 11 0
39 fieldElementFailure 3 2 51
202 operationsDiagnosisCommunications 1 7 20
51 fieldElementFailure 5 5 41
100 fieldElementFailure 3 3 42
49 fieldElementFailure 0 12 2
98 fieldElementFailure 0 6 2
281 operationsDiagnosisCommunications 0 7 3
272 fieldElementFailure 2 5 9
126 fieldElementFailure 6 5 38
75 fieldElementFailure 0 12 0
124 fieldElementFailure 11 4 62
277 fieldElementFailure 1 4 39
268 operationsDiagnosisCommunications 5 0 46
71 operationsDiagnosisCommunications 4 2 54
303 fieldElementFailure 0 4 0
301 fieldElementFailure 0 5 0
150 operationsDiagnosisCommunications 0 12 0
211 operationsDiagnosisCommunications 0 6 17
155 fieldElementFailure 0 6 7
132 fieldElementFailure 0 12 1
130 fieldElementFailure 4 7 56
156 fieldElementFailure 0 5 7
3 operationsDiagnosisCommunications 1 0 9
182 fieldElementFailure 2 7 37
277 operationsDiagnosisCommunications 1 5 4
64 operationsDiagnosisCommunications 1 2 9
112 operationsDiagnosisCommunications 2 4 49
130 operationsDiagnosisCommunications 14 0 86
207 operationsDiagnosisCommunications 0 5 0
3 fieldElementFailure 1 0 42
178 operationsDiagnosisCommunications 3 5 22
78 fieldElementFailure 4 8 20
55 fieldElementFailure 0 12 0
255 operationsDiagnosisCommunications 3 6 34
257 operationsDiagnosisCommunications 0 7 12
88 fieldElementFailure 8 1 58
60 operationsDiagnosisCommunications 0 8 7
121 operationsDiagnosisCommunications 1 8 13
112 fieldElementFailure 3 8 15
265 fieldElementFailure 2 6 27
314 fieldElementFailure 0 3 0
279 fieldElementFailure 1 4 27
117 fieldElementFailure 2 8 48
108 operationsDiagnosisCommunications 4 1 98
291 fieldElementFailure 5 1 59
289 fieldElementFailure 1 4 34
187 operationsDiagnosisCommunications 4 7 32
315 fieldElementFailure 0 2 0
248 operationsDiagnosisCommunications 0 6 6
134 fieldElementFailure 0 13 0
114 fieldElementFailure 8 4 62
144 fieldElementFailure 0 8 0
235 operationsDiagnosisCommunications 2 4 24
40 operationsDiagnosisCommunications 3 11 28
314 operationsDiagnosisCommunications 0 2 0
117 operationsDiagnosisCommunications 5 5 25
173 fieldElementFailure 0 4 0
301 operationsDiagnosisCommunications 0 4 0
199 fieldElementFailure 0 1 35
183 operationsDiagnosisCommunications 2 5 37
244 operationsDiagnosisCommunications 3 2 57
231 operationsDiagnosisCommunications 2 1 32
36 operationsDiagnosisCommunications 1 11 14
310 operationsDiagnosisCommunications 0 2 0
97 operationsDiagnosisCommunications 1 6 6
95 fieldElementFailure 3 6 48
230 operationsDiagnosisCommunications 1 4 17
105 fieldElementFailure 0 10 1
163 operationsDiagnosisCommunications 3 5 22
224 operationsDiagnosisCommunications 2 2 18
16 operationsDiagnosisCommunications 1 3 15
290 operationsDiagnosisCommunications 3 4 23
93 operationsDiagnosisCommunications 2 2 70
137 fieldElementFailure 0 10 0
186 fieldElementFailure 0 6 16
151 fieldElementFailure 0 9 0
163 fieldElementFailure 1 4 45
212 fieldElementFailure 5 1 45
161 fieldElementFailure 0 4 7
210 fieldElementFailure 5 0 39
238 fieldElementFailure 2 2 46
187 fieldElementFailure 0 5 8
236 fieldElementFailure 0 4 0
159 operationsDiagnosisCommunications 0 7 0
248 fieldElementFailure 5 5 36
6 fieldElementFailure 0 3 0
25 operationsDiagnosisCommunications 0 7 17
16 fieldElementFailure 7 0 52
12 operationsDiagnosisCommunications 3 0 54
286 operationsDiagnosisCommunications 4 3 56
73 operationsDiagnosisCommunications 0 7 2
270 fieldElementFailure 2 8 30
268 fieldElementFailure 0 9 0
