time alarm_type valid invalid real
179 operationsDiagnosisCommunications 1 1 93
166 operationsDiagnosisCommunications 0 3 30
227 operationsDiagnosisCommunications 2 0 22
32 operationsDiagnosisCommunications 0 4 8
293 operationsDiagnosisCommunications 0 4 0
80 operationsDiagnosisCommunications 0 1 0
175 operationsDiagnosisCommunications 0 1 29
250 fieldElementFailure 0 3 3
227 fieldElementFailure 1 0 21
20 fieldElementFailure 0 5 2
225 fieldElementFailure 2 0 51
146 operationsDiagnosisCommunications 0 2 20
46 fieldElementFailure 5 0 61
251 fieldElementFailure 1 1 39
223 operationsDiagnosisCommunications 0 1 22
56 fieldElementFailure 0 3 0
28 operationsDiagnosisCommunications 1 1 7
302 operationsDiagnosisCommunications 0 1 0
89 operationsDiagnosisCommunications 0 3 0
80 fieldElementFailure 1 0 42
282 fieldElementFailure 1 0 33
273 operationsDiagnosisCommunications 0 4 15
85 fieldElementFailure 0 5 46
76 operationsDiagnosisCommunications 0 1 2
259 fieldElementFailure 2 0 48
109 fieldElementFailure 5 0 68
283 fieldElementFailure 1 0 59
216 operationsDiagnosisCommunications 1 0 29
203 operationsDiagnosisCommunications 0 2 16
8 operationsDiagnosisCommunications 1 0 27
282 operationsDiagnosisCommunications 0 2 13
269 operationsDiagnosisCommunications 0 2 13
151 operationsDiagnosisCommunications 0 2 0
160 fieldElementFailure 0 2 7
199 operationsDiagnosisCommunications 2 2 32
4 operationsDiagnosisCommunications 0 2 9
278 operationsDiagnosisCommunications 0 2 50
241 fieldElementFailure 3 0 43
37 fieldElementFailure 3 1 57
63 fieldElementFailure 0 3 0
61 fieldElementFailure 3 0 28
73 fieldElementFailure 2 1 40
122 fieldElementFailure 2 1 46
113 operationsDiagnosisCommunications 1 0 107
131 operationsDiagnosisCommunications 2 0 112
99 fieldElementFailure 0 2 12
97 fieldElementFailure 0 1 1
192 operationsDiagnosisCommunications 1 2 16
123 fieldElementFailure 3 0 65
240 operationsDiagnosisCommunications 0 2 20
258 operationsDiagnosisCommunications 0 1 31
154 fieldElementFailure 0 3 7
122 operationsDiagnosisCommunications 4 2 34
131 fieldElementFailure 3 3 48
180 fieldElementFailure 0 2 0
129 fieldElementFailure 4 0 63
178 fieldElementFailure 1 2 16
206 fieldElementFailure 1 0 35
109 operationsDiagnosisCommunications 1 0 135
204 fieldElementFailure 2 0 33
188 operationsDiagnosisCommunications 1 1 6
249 operationsDiagnosisCommunications 2 1 9
240 fieldElementFailure 2 0 39
236 operationsDiagnosisCommunications 0 1 0
41 operationsDiagnosisCommunications 0 3 3
118 operationsDiagnosisCommunications 1 3 42
262 fieldElementFailure 2 0 58
168 operationsDiagnosisCommunications 1 0 18
201 fieldElementFailure 0 2 9
