time alarm_type valid invalid real
245 operationsDiagnosisCommunications 1 3 13
37 operationsDiagnosisCommunications 0 3 32
98 operationsDiagnosisCommunications 0 3 6
158 fieldElementFailure 0 1 0
168 fieldElementFailure 0 1 49
225 operationsDiagnosisCommunications 1 0 91
46 operationsDiagnosisCommunications 0 1 24
223 fieldElementFailure 1 0 36
221 fieldElementFailure 0 1 0
26 fieldElementFailure 2 0 61
17 operationsDiagnosisCommunications 1 1 89
291 operationsDiagnosisCommunications 2 1 21
94 operationsDiagnosisCommunications 0 2 42
50 fieldElementFailure 3 0 42
27 fieldElementFailure 0 3 1
76 fieldElementFailure 0 2 0
102 fieldElementFailure 1 1 45
144 operationsDiagnosisCommunications 0 3 22
221 operationsDiagnosisCommunications 1 1 23
26 operationsDiagnosisCommunications 1 3 17
13 operationsDiagnosisCommunications 0 2 21
287 operationsDiagnosisCommunications 1 2 12
74 operationsDiagnosisCommunications 0 1 1
153 operationsDiagnosisCommunications 0 1 10
201 operationsDiagnosisCommunications 2 1 25
70 fieldElementFailure 0 3 27
140 operationsDiagnosisCommunications 0 2 31
175 fieldElementFailure 2 1 45
22 operationsDiagnosisCommunications 0 3 2
185 fieldElementFailure 0 1 25
234 fieldElementFailure 1 1 22
211 fieldElementFailure 1 0 57
4 fieldElementFailure 1 0 47
267 operationsDiagnosisCommunications 2 1 40
30 fieldElementFailure 2 2 63
235 fieldElementFailure 0 1 0
70 operationsDiagnosisCommunications 0 2 2
40 fieldElementFailure 1 1 56
54 fieldElementFailure 2 2 50
149 operationsDiagnosisCommunications 0 4 1
280 operationsDiagnosisCommunications 1 1 27
64 fieldElementFailure 3 0 39
28 fieldElementFailure 1 3 16
266 fieldElementFailure 0 2 39
69 fieldElementFailure 0 6 30
197 operationsDiagnosisCommunications 0 2 20
2 operationsDiagnosisCommunications 0 1 14
93 fieldElementFailure 2 0 59
276 operationsDiagnosisCommunications 0 1 31
267 fieldElementFailure 2 0 26
79 operationsDiagnosisCommunications 0 1 14
119 fieldElementFailure 2 3 16
263 operationsDiagnosisCommunications 1 1 12
50 operationsDiagnosisCommunications 0 1 1
127 operationsDiagnosisCommunications 2 2 12
129 operationsDiagnosisCommunications 2 0 127
206 operationsDiagnosisCommunications 0 2 0
177 operationsDiagnosisCommunications 2 1 19
254 operationsDiagnosisCommunications 1 0 84
256 operationsDiagnosisCommunications 0 3 12
59 operationsDiagnosisCommunications 0 2 16
120 operationsDiagnosisCommunications 1 2 32
107 operationsDiagnosisCommunications 0 1 29
186 operationsDiagnosisCommunications 0 3 19
21 fieldElementFailure 0 4 36
47 fieldElementFailure 4 0 56
45 fieldElementFailure 4 0 74
173 operationsDiagnosisCommunications 0 2 7
57 fieldElementFailure 1 1 31
106 fieldElementFailure 1 4 33
71 fieldElementFailure 2 0 40
234 operationsDiagnosisCommunications 0 2 12
83 fieldElementFailure 0 4 1
55 operationsDiagnosisCommunications 0 1 3
116 operationsDiagnosisCommunications 0 3 20
107 fieldElementFailure 4 0 53
269 fieldElementFailure 0 3 30
103 operationsDiagnosisCommunications 0 4 0
182 operationsDiagnosisCommunications 0 2 34
138 fieldElementFailure 0 2 1
243 operationsDiagnosisCommunications 2 0 25
164 fieldElementFailure 2 2 53
162 fieldElementFailure 0 3 7
139 fieldElementFailure 0 3 5
230 operationsDiagnosisCommunications 0 1 17
143 operationsDiagnosisCommunications 2 1 27
35 operationsDiagnosisCommunications 6 0 48
214 fieldElementFailure 0 1 1
96 operationsDiagnosisCommunications 0 5 12
224 fieldElementFailure 1 0 37
239 operationsDiagnosisCommunications 0 2 2
210 operationsDiagnosisCommunications 0 1 10
31 operationsDiagnosisCommunications 3 0 49
289 operationsDiagnosisCommunications 1 1 60
120 fieldElementFailure 3 3 48
92 operationsDiagnosisCommunications 1 1 41
297 fieldElementFailure 0 3 0
158 operationsDiagnosisCommunications 0 3 7
219 operationsDiagnosisCommunications 0 1 21
142 fieldElementFailure 0 4 60
24 operationsDiagnosisCommunications 1 1 55
152 fieldElementFailure 0 3 0
166 fieldElementFailure 0 2 0
176 fieldElementFailure 2 1 41
11 operationsDiagnosisCommunications 3 0 45
285 operationsDiagnosisCommunications 0 3 17
72 operationsDiagnosisCommunications 0 2 11
181 fieldElementFailure 0 1 19
207 fieldElementFailure 0 1 0
205 fieldElementFailure 0 2 40
10 fieldElementFailure 1 1 49
138 operationsDiagnosisCommunications 0 4 6
215 operationsDiagnosisCommunications 1 1 17
34 fieldElementFailure 0 4 4
20 operationsDiagnosisCommunications 1 0 15
169 operationsDiagnosisCommunications 1 1 28
60 fieldElementFailure 3 0 64
7 operationsDiagnosisCommunications 1 0 14
265 operationsDiagnosisCommunications 1 1 33
68 operationsDiagnosisCommunications 0 1 11
147 operationsDiagnosisCommunications 0 4 34
134 operationsDiagnosisCommunications 0 2 0
195 operationsDiagnosisCommunications 0 1 16
133 fieldElementFailure 0 7 14
261 operationsDiagnosisCommunications 2 0 56
48 operationsDiagnosisCommunications 0 1 1
159 fieldElementFailure 0 1 7
125 operationsDiagnosisCommunications 2 5 8
169 fieldElementFailure 0 1 57
183 fieldElementFailure 0 1 5
244 fieldElementFailure 1 1 43
242 fieldElementFailure 3 0 29
14 fieldElementFailure 0 3 0
12 fieldElementFailure 3 0 51
191 operationsDiagnosisCommunications 1 1 49
24 fieldElementFailure 0 5 66
38 fieldElementFailure 2 1 64
270 operationsDiagnosisCommunications 1 2 26
48 fieldElementFailure 0 6 1
44 operationsDiagnosisCommunications 0 1 18
105 operationsDiagnosisCommunications 0 1 6
77 fieldElementFailure 0 2 0
49 operationsDiagnosisCommunications 0 1 1
300 fieldElementFailure 0 2 0
184 operationsDiagnosisCommunications 1 1 24
171 operationsDiagnosisCommunications 0 2 16
232 operationsDiagnosisCommunications 3 0 79
101 operationsDiagnosisCommunications 1 1 35
180 operationsDiagnosisCommunications 0 2 24
167 operationsDiagnosisCommunications 1 1 47
228 operationsDiagnosisCommunications 3 0 29
33 operationsDiagnosisCommunications 1 4 31
5 fieldElementFailure 1 0 45
110 operationsDiagnosisCommunications 1 1 22
31 fieldElementFailure 1 2 49
29 fieldElementFailure 2 2 45
294 operationsDiagnosisCommunications 0 2 0
41 fieldElementFailure 1 1 10
90 fieldElementFailure 0 2 2
81 operationsDiagnosisCommunications 0 1 2
264 fieldElementFailure 2 2 17
67 fieldElementFailure 4 0 60
116 fieldElementFailure 2 4 54
65 fieldElementFailure 4 0 41
160 operationsDiagnosisCommunications 0 2 8
288 fieldElementFailure 0 1 12
91 fieldElementFailure 1 1 7
113 fieldElementFailure 2 4 38
29 operationsDiagnosisCommunications 1 1 22
90 operationsDiagnosisCommunications 0 2 0
155 operationsDiagnosisCommunications 0 1 8
274 operationsDiagnosisCommunications 0 3 7
77 operationsDiagnosisCommunications 1 0 14
172 fieldElementFailure 0 2 0
156 operationsDiagnosisCommunications 0 1 6
208 fieldElementFailure 0 2 14
230 fieldElementFailure 1 0 46
204 operationsDiagnosisCommunications 1 1 11
9 operationsDiagnosisCommunications 0 1 41
283 operationsDiagnosisCommunications 0 1 22
86 operationsDiagnosisCommunications 0 1 0
19 fieldElementFailure 3 0 44
136 operationsDiagnosisCommunications 0 1 7
104 fieldElementFailure 0 3 1
271 fieldElementFailure 0 2 26
281 fieldElementFailure 1 0 9
5 operationsDiagnosisCommunications 1 0 79
279 operationsDiagnosisCommunications 1 2 33
220 operationsDiagnosisCommunications 0 1 15
136 fieldElementFailure 0 5 7
150 fieldElementFailure 0 3 7
114 operationsDiagnosisCommunications 1 1 34
132 operationsDiagnosisCommunications 0 2 23
87 fieldElementFailure 5 0 78
193 operationsDiagnosisCommunications 3 1 19
165 fieldElementFailure 0 3 1
14 operationsDiagnosisCommunications 3 0 51
241 operationsDiagnosisCommunications 1 1 11
259 operationsDiagnosisCommunications 0 1 10
18 fieldElementFailure 3 0 63
123 operationsDiagnosisCommunications 3 4 13
44 fieldElementFailure 1 2 49
189 operationsDiagnosisCommunications 0 2 38
111 fieldElementFailure 0 3 1
237 operationsDiagnosisCommunications 1 0 10
121 fieldElementFailure 3 2 42
42 operationsDiagnosisCommunications 0 2 11
119 operationsDiagnosisCommunications 3 0 104
143 fieldElementFailure 0 3 47
141 fieldElementFailure 0 4 59
246 operationsDiagnosisCommunications 1 2 15
153 fieldElementFailure 0 3 1
167 fieldElementFailure 0 2 49
179 fieldElementFailure 0 4 1
228 fieldElementFailure 0 1 4
177 fieldElementFailure 1 2 35
226 fieldElementFailure 1 0 56
220 fieldElementFailure 1 0 55
254 fieldElementFailure 1 2 24
203 fieldElementFailure 1 0 37
38 operationsDiagnosisCommunications 2 0 96
8 fieldElementFailure 1 0 52
99 operationsDiagnosisCommunications 0 3 6
22 fieldElementFailure 3 0 22
32 fieldElementFailure 2 1 73
165 operationsDiagnosisCommunications 0 2 15
260 fieldElementFailure 1 1 41
258 fieldElementFailure 2 0 51
226 operationsDiagnosisCommunications 1 0 15
286 fieldElementFailure 2 0 56
284 fieldElementFailure 1 0 52
47 operationsDiagnosisCommunications 0 2 9
296 fieldElementFailure 0 4 0
18 operationsDiagnosisCommunications 2 1 26
292 operationsDiagnosisCommunications 2 2 11
95 operationsDiagnosisCommunications 2 1 32
280 fieldElementFailure 0 1 0
145 operationsDiagnosisCommunications 2 1 28
222 operationsDiagnosisCommunications 0 1 7
27 operationsDiagnosisCommunications 0 3 4
88 operationsDiagnosisCommunications 0 2 28
81 fieldElementFailure 2 0 52
272 operationsDiagnosisCommunications 3 0 22
75 operationsDiagnosisCommunications 0 1 8
154 operationsDiagnosisCommunications 0 1 7
245 fieldElementFailure 1 0 48
15 fieldElementFailure 3 0 19
13 fieldElementFailure 0 3 35
141 operationsDiagnosisCommunications 1 0 18
25 fieldElementFailure 1 2 52
74 fieldElementFailure 0 4 0
39 fieldElementFailure 2 2 51
202 operationsDiagnosisCommunications 0 2 20
51 fieldElementFailure 4 1 41
100 fieldElementFailure 3 1 42
49 fieldElementFailure 0 5 2
98 fieldElementFailure 0 2 2
281 operationsDiagnosisCommunications 0 2 3
272 fieldElementFailure 0 1 9
126 fieldElementFailure 2 1 38
75 fieldElementFailure 0 2 0
124 fieldElementFailure 2 0 62
277 fieldElementFailure 1 0 39
268 operationsDiagnosisCommunications 2 0 46
71 operationsDiagnosisCommunications 0 2 54
150 operationsDiagnosisCommunications 0 2 0
211 operationsDiagnosisCommunications 0 1 17
155 fieldElementFailure 0 3 7
132 fieldElementFailure 0 7 1
130 fieldElementFailure 2 3 56
156 fieldElementFailure 0 3 7
3 operationsDiagnosisCommunications 1 1 9
182 fieldElementFailure 0 1 37
277 operationsDiagnosisCommunications 0 1 4
112 operationsDiagnosisCommunications 0 2 49
130 operationsDiagnosisCommunications 2 0 86
207 operationsDiagnosisCommunications 0 2 0
178 operationsDiagnosisCommunications 1 2 22
78 fieldElementFailure 0 2 20
55 fieldElementFailure 0 4 0
255 operationsDiagnosisCommunications 0 1 34
257 operationsDiagnosisCommunications 1 2 12
88 fieldElementFailure 2 2 58
60 operationsDiagnosisCommunications 0 1 7
121 operationsDiagnosisCommunications 2 2 13
112 fieldElementFailure 1 3 15
265 fieldElementFailure 0 2 27
117 fieldElementFailure 1 5 48
187 operationsDiagnosisCommunications 1 2 32
248 operationsDiagnosisCommunications 1 1 6
134 fieldElementFailure 0 7 0
114 fieldElementFailure 3 3 62
144 fieldElementFailure 0 3 0
235 operationsDiagnosisCommunications 1 0 24
40 operationsDiagnosisCommunications 0 3 28
117 operationsDiagnosisCommunications 3 0 25
173 fieldElementFailure 0 3 0
301 operationsDiagnosisCommunications 0 1 0
183 operationsDiagnosisCommunications 1 1 37
244 operationsDiagnosisCommunications 1 2 57
231 operationsDiagnosisCommunications 1 1 32
36 operationsDiagnosisCommunications 2 3 14
97 operationsDiagnosisCommunications 0 4 6
95 fieldElementFailure 1 0 48
105 fieldElementFailure 0 4 1
224 operationsDiagnosisCommunications 0 2 18
16 operationsDiagnosisCommunications 0 2 15
290 operationsDiagnosisCommunications 1 2 23
93 operationsDiagnosisCommunications 1 0 70
137 fieldElementFailure 0 4 0
151 fieldElementFailure 0 3 0
163 fieldElementFailure 1 2 45
212 fieldElementFailure 2 0 45
161 fieldElementFailure 0 4 7
238 fieldElementFailure 1 0 46
159 operationsDiagnosisCommunications 0 3 0
248 fieldElementFailure 3 0 36
6 fieldElementFailure 0 1 0
25 operationsDiagnosisCommunications 0 3 17
16 fieldElementFailure 4 0 52
12 operationsDiagnosisCommunications 3 0 54
286 operationsDiagnosisCommunications 1 2 56
73 operationsDiagnosisCommunications 0 2 2
270 fieldElementFailure 1 0 30
268 fieldElementFailure 0 3 0
152 operationsDiagnosisCommunications 0 1 7
23 operationsDiagnosisCommunications 2 0 123
294 fieldElementFailure 0 2 0
139 operationsDiagnosisCommunications 0 3 58
200 operationsDiagnosisCommunications 0 3 9
21 operationsDiagnosisCommunications 0 2 15
266 operationsDiagnosisCommunications 0 3 6
146 fieldElementFailure 0 3 38
148 operationsDiagnosisCommunications 3 1 94
200 fieldElementFailure 0 2 1
135 operationsDiagnosisCommunications 0 2 9
196 operationsDiagnosisCommunications 2 0 87
275 operationsDiagnosisCommunications 0 1 8
255 fieldElementFailure 0 4 17
253 fieldElementFailure 0 3 40
262 operationsDiagnosisCommunications 1 1 41
9 fieldElementFailure 2 0 37
58 fieldElementFailure 1 0 31
23 fieldElementFailure 2 2 63
35 fieldElementFailure 0 3 2
84 fieldElementFailure 4 0 30
33 fieldElementFailure 1 2 49
82 fieldElementFailure 3 0 51
110 fieldElementFailure 1 3 75
59 fieldElementFailure 1 0 54
108 fieldElementFailure 5 1 79
261 fieldElementFailure 2 0 66
176 operationsDiagnosisCommunications 0 2 20
287 fieldElementFailure 0 2 0
285 fieldElementFailure 1 0 42
253 operationsDiagnosisCommunications 1 0 14
271 operationsDiagnosisCommunications 2 0 75
58 operationsDiagnosisCommunications 0 1 41
45 operationsDiagnosisCommunications 0 1 14
140 fieldElementFailure 0 3 19
185 operationsDiagnosisCommunications 3 0 64
247 operationsDiagnosisCommunications 1 1 23
172 operationsDiagnosisCommunications 1 2 25
233 operationsDiagnosisCommunications 0 4 0
126 operationsDiagnosisCommunications 1 4 14
54 operationsDiagnosisCommunications 0 1 2
115 operationsDiagnosisCommunications 1 1 36
243 fieldElementFailure 0 4 13
36 fieldElementFailure 0 2 20
128 operationsDiagnosisCommunications 0 4 6
62 fieldElementFailure 0 3 5
11 fieldElementFailure 2 0 55
102 operationsDiagnosisCommunications 2 1 25
72 fieldElementFailure 2 0 43
86 fieldElementFailure 4 0 42
181 operationsDiagnosisCommunications 1 0 20
298 fieldElementFailure 0 3 0
263 fieldElementFailure 2 1 10
101 fieldElementFailure 3 1 50
229 operationsDiagnosisCommunications 0 2 21
273 fieldElementFailure 0 1 1
127 fieldElementFailure 3 2 53
34 operationsDiagnosisCommunications 1 4 16
125 fieldElementFailure 0 2 1
299 fieldElementFailure 0 3 0
111 operationsDiagnosisCommunications 2 1 16
128 fieldElementFailure 4 0 69
238 operationsDiagnosisCommunications 1 0 38
198 operationsDiagnosisCommunications 1 2 18
252 fieldElementFailure 2 1 39
30 operationsDiagnosisCommunications 2 0 46
288 operationsDiagnosisCommunications 2 0 13
91 operationsDiagnosisCommunications 0 2 0
157 operationsDiagnosisCommunications 0 4 6
53 fieldElementFailure 2 3 38
79 fieldElementFailure 1 0 29
205 operationsDiagnosisCommunications 0 1 14
89 fieldElementFailure 0 2 35
103 fieldElementFailure 1 1 33
10 operationsDiagnosisCommunications 0 2 3
284 operationsDiagnosisCommunications 2 0 89
115 fieldElementFailure 5 1 53
87 operationsDiagnosisCommunications 1 0 39
137 operationsDiagnosisCommunications 0 2 11
214 operationsDiagnosisCommunications 0 1 7
170 fieldElementFailure 0 2 38
135 fieldElementFailure 0 6 0
19 operationsDiagnosisCommunications 0 2 8
147 fieldElementFailure 1 1 49
145 fieldElementFailure 0 3 17
222 fieldElementFailure 0 1 11
171 fieldElementFailure 1 2 33
6 operationsDiagnosisCommunications 0 1 34
264 operationsDiagnosisCommunications 2 0 51
67 operationsDiagnosisCommunications 0 1 6
246 fieldElementFailure 1 0 14
133 operationsDiagnosisCommunications 2 0 92
194 operationsDiagnosisCommunications 0 2 28
15 operationsDiagnosisCommunications 0 3 7
242 operationsDiagnosisCommunications 0 2 0
260 operationsDiagnosisCommunications 0 2 7
63 operationsDiagnosisCommunications 0 1 2
124 operationsDiagnosisCommunications 2 5 6
142 operationsDiagnosisCommunications 2 0 78
190 operationsDiagnosisCommunications 2 0 48
174 fieldElementFailure 0 4 17
184 fieldElementFailure 0 1 14
43 operationsDiagnosisCommunications 0 1 5
104 operationsDiagnosisCommunications 1 3 6
213 fieldElementFailure 0 3 35
239 fieldElementFailure 1 0 46
247 fieldElementFailure 1 1 36
249 fieldElementFailure 0 2 0
42 fieldElementFailure 1 2 9
7 fieldElementFailure 0 1 21
170 operationsDiagnosisCommunications 1 1 30
68 fieldElementFailure 2 2 51
17 fieldElementFailure 4 0 53
66 fieldElementFailure 3 1 69
94 fieldElementFailure 2 0 38
43 fieldElementFailure 1 2 21
92 fieldElementFailure 0 1 42
118 fieldElementFailure 0 5 12
39 operationsDiagnosisCommunications 0 2 29
52 fieldElementFailure 4 2 37
100 operationsDiagnosisCommunications 1 0 45
295 fieldElementFailure 0 4 0
