"","rule","precision","recall"
"49","<{saml.status.DS_7_41,saml.status.DS_7_25},{saml.status.DS_7_39}>",0.07833333,0.07
"50","<{saml.status.DS_7_41,saml.status.DS_7_25},{saml.status.DS_7_25}>",0.07833333,0.07
"51","<{saml.status.DS_7_41,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.075,0.05
"52","<{saml.status.DS_7_41,saml.status.DS_7_39},{saml.status.DS_7_25}>",0.075,0.05
"53","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.075,0.05
"54","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_25}>",0.075,0.05
"55","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.075,0.032692308
"56","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_41}>",0.075,0.04583333
"57","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.075,0.05
"58","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_27}>",0.075,0.05
"59","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_25}>",0.075,0.05
"60","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.075,0.032692308
"61","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_41}>",0.075,0.04583333
"62","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_39}>",0.075,0.05
"63","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_27}>",0.075,0.05
"64","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_25}>",0.075,0.05
"65","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_1_4}>",0.075,0.032692308
"66","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_41}>",0.075,0.04583333
"67","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.075,0.05
"68","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_27}>",0.075,0.05
"69","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_25}>",0.075,0.05
"70","<{saml.status.DS_7_41,saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.075,0.032692308
"71","<{saml.status.DS_6_8},{saml.status.DS_1_4}>",0.075,0.03928571
"72","<{saml.status.DS_7_39},{saml.status.DS_7_29}>",0.075,0.03928571
"73","<{saml.status.DS_7_39},{saml.status.DS_7_25}>",0.07,0.07
"74","<{saml.status.DS_7_25},{saml.status.DS_7_41}>",0.07,0.06583333
"75","<{saml.status.DS_7_25},{saml.status.DS_7_39}>",0.07,0.07
"76","<{saml.status.DS_7_25},{saml.status.DS_7_25}>",0.07,0.07
"77","<{saml.status.DS_7_41,saml.status.DS_7_27},{saml.status.DS_7_39}>",0.06666667,0.05
"78","<{saml.status.DS_7_41,saml.status.DS_7_27},{saml.status.DS_7_25}>",0.06666667,0.05
"79","<{saml.status.DS_7_41},{saml.status.DS_7_39}>",0.06583333,0.07
"80","<{saml.status.DS_7_41,saml.status.DS_7_25},{saml.status.DS_7_27}>",0.05833333,0.05
"81","<{saml.status.DS_7_41,saml.status.DS_7_25},{saml.status.DS_1_4}>",0.05833333,0.032692308
"82","<{saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.05833333,0.05
"83","<{saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_25}>",0.05833333,0.05
"84","<{saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.05833333,0.032692308
"85","<{saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_41}>",0.05833333,0.04583333
"86","<{saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.05833333,0.05
"87","<{saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_27}>",0.05833333,0.05
"88","<{saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_7_25}>",0.05833333,0.05
"89","<{saml.status.DS_7_25,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.05833333,0.032692308
"90","<{saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_41}>",0.05833333,0.04583333
"91","<{saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_39}>",0.05833333,0.05
"92","<{saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_27}>",0.05833333,0.05
"93","<{saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_7_25}>",0.05833333,0.05
"94","<{saml.status.DS_7_25,saml.status.DS_7_27},{saml.status.DS_1_4}>",0.05833333,0.032692308
"95","<{saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_41}>",0.05833333,0.04583333
"96","<{saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.05833333,0.05
"97","<{saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_27}>",0.05833333,0.05
"98","<{saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_7_25}>",0.05833333,0.05
"99","<{saml.status.DS_7_25,saml.status.DS_7_27,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.05833333,0.032692308
"100","<{saml.status.DS_1_4,saml.status.DS_7_39},{saml.status.DS_7_39}>",0.05,0.03333333
"101","<{saml.status.DS_7_27},{saml.status.DS_7_39}>",0.05,0.05
"102","<{saml.status.DS_7_27},{saml.status.DS_7_25}>",0.05,0.05
"103","<{saml.status.DS_7_25},{saml.status.DS_7_27}>",0.05,0.05
"104","<{saml.status.DS_7_25},{saml.status.DS_1_4}>",0.05,0.032692308
"105","<{saml.status.DS_6_8},{saml.status.DS_7_41}>",0.0375,0.04583333
"106","<{saml.status.DS_6_8},{saml.status.DS_6_8}>",0.0375,0.0375
"107","<{saml.status.DS_1_4},{saml.status.DS_7_41}>",0.03571428,0.05
"108","<{saml.status.DS_1_4,saml.status.DS_7_39},{saml.status.DS_6_8}>",0.03333333,0.0125
"109","<{saml.status.DS_1_4,saml.status.DS_7_39},{saml.status.DS_1_4}>",0.03333333,0.007692308
"110","<{saml.status.DS_1_4},{saml.status.DS_6_8}>",0.03076923,0.05
"111","<{saml.status.DS_1_4},{saml.status.DS_7_29}>",0.02857142,0.11428571
"112","<{saml.status.DS_6_8},{saml.status.DS_7_39}>",0.025,0.03333333
"113","<{saml.status.DS_6_8},{saml.status.DS_7_25}>",0.025,0.05
"114","<{saml.status.DS_7_39},{saml.status.DS_6_8}>",0.025,0.0125
"115","<{saml.status.DS_1_4,saml.status.DS_6_8},{saml.status.DS_6_8}>",0.025,0.0125
"116","<{saml.status.DS_7_29},{saml.status.DS_7_39}>",0.025,0.025
"117","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_1_4}>",0.02,0.007692308
"118","<{saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_1_4}>",0.02,0.007692308
"119","<{saml.status.DS_1_4},{saml.status.DS_7_39}>",0.01538462,0.05
"120","<{saml.status.DS_3_4},{saml.status.DS_7_29}>",0.01428571,0.1
"121","<{saml.status.DS_7_41,saml.status.DS_7_29},{saml.status.DS_6_8}>",0.01428571,0.1
"122","<{saml.status.DS_7_41,saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_6_8}>",0.01428571,0.1
"123","<{saml.status.DS_7_29},{saml.status.DS_6_8}>",0.01428571,0.1
"124","<{saml.status.DS_7_27,saml.status.DS_7_29},{saml.status.DS_6_8}>",0.01428571,0.1
"125","<{saml.status.DS_1_4},{saml.status.DS_7_27}>",0.01428571,0.0125
"126","<{saml.status.DS_6_8},{saml.status.DS_7_27}>",0.0125,0.03333333
"127","<{saml.status.DS_7_41},{saml.status.DS_6_8}>",0.0125,0.1
"128","<{saml.status.DS_7_41},{saml.status.DS_3_4}>",0.0125,0.05
"129","<{saml.status.DS_7_41,saml.status.DS_7_27},{saml.status.DS_6_8}>",0.0125,0.1
"130","<{saml.status.DS_7_41,saml.status.DS_7_27},{saml.status.DS_3_4}>",0.0125,0.05
"131","<{saml.status.DS_7_27},{saml.status.DS_6_8}>",0.0125,0.1
"132","<{saml.status.DS_7_27},{saml.status.DS_3_4}>",0.0125,0.05
"","rule","precision","recall"
"1","<{saml.status.DS_7_69,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.70116778,0.20477869
"2","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.70116778,0.20477869
"3","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.69958883,0.20292683
"4","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.69958883,0.20292683
"5","<{saml.status.DS_7_69,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.69688207,0.20347535
"6","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.69688207,0.20347535
"7","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.69530312,0.20162349
"8","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.69530312,0.20162349
"9","<{saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.69223921,0.20477869
"10","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.69066026,0.20292683
"11","<{saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.68973921,0.20347535
"12","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.68816026,0.20162349
"13","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.68609148,0.22481738
"14","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.68609148,0.22481738
"15","<{saml.status.DS_7_69,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.68211642,0.24800814
"16","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.68211642,0.24800814
"17","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.68180577,0.22318434
"18","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.68180577,0.22318434
"19","<{saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.68121716,0.20787001
"20","<{saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.67959098,0.20972187
"21","<{saml.status.DS_7_69,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.67783071,0.24613408
"22","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.67783071,0.24613408
"23","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.67716291,0.22481738
"24","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.67466291,0.22318434
"25","<{saml.status.DS_7_20,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.67318785,0.24800814
"26","<{saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.67303535,0.2034092
"27","<{saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.67140917,0.20526106
"28","<{saml.status.DS_7_20,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.67068785,0.24613408
"29","<{saml.status.DS_7_66,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.65555167,0.110169178
"30","<{saml.status.DS_7_69,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.6545864,0.20433118
"31","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.6545864,0.20433118
"32","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.65248114,0.2020056
"33","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.65248114,0.2020056
"34","<{saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_20}>",0.64823546,0.53225343
"35","<{saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_69}>",0.64657606,0.53015524
"36","<{saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.64565783,0.20433118
"37","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.64460338,0.22345236
"38","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.64460338,0.22345236
"39","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.64355257,0.2020056
"40","<{saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.64095502,0.27422519
"41","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_69}>",0.64087255,0.50627957
"42","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_69}>",0.63907075,0.50211291
"43","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_69}>",0.63814981,0.50581661
"44","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_20}>",0.63724775,0.50269227
"45","<{saml.status.DS_7_69,saml.status.DS_7_21},{saml.status.DS_7_69}>",0.63710493,0.53295946
"46","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21},{saml.status.DS_7_69}>",0.63649791,0.5287928
"47","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.63567481,0.22345236
"48","<{saml.status.DS_7_20,saml.status.DS_7_21},{saml.status.DS_7_69}>",0.6355852,0.53249651
"49","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_20}>",0.63529581,0.49843695
"50","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_20}>",0.6342426,0.50207331
"51","<{saml.status.DS_7_69,saml.status.DS_7_21},{saml.status.DS_7_20}>",0.63394647,0.52952599
"52","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21},{saml.status.DS_7_20}>",0.63318255,0.52527067
"53","<{saml.status.DS_7_20,saml.status.DS_7_21},{saml.status.DS_7_20}>",0.63214669,0.52890703
"54","<{saml.status.DS_7_69,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.63065513,0.23996571
"55","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.63065513,0.23996571
"56","<{saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.62618408,0.20438655
"57","<{saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.62444319,0.20671213
"58","<{saml.status.DS_7_67},{saml.status.DS_7_20}>",0.6241535,0.54237128
"59","<{saml.status.DS_7_67},{saml.status.DS_7_69}>",0.6224941,0.54020815
"60","<{saml.status.DS_7_20,saml.status.DS_7_68},{saml.status.DS_7_21}>",0.62172656,0.23996571
"61","<{saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_69}>",0.61935437,0.23093498
"62","<{saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_20}>",0.61844528,0.23544967
"63","<{saml.status.DS_7_69,saml.status.DS_7_67},{saml.status.DS_7_69}>",0.61832264,0.51448064
"64","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_67},{saml.status.DS_7_69}>",0.61652084,0.51031398
"65","<{saml.status.DS_7_20,saml.status.DS_7_67},{saml.status.DS_7_69}>",0.6155999,0.51401768
"66","<{saml.status.DS_7_21},{saml.status.DS_7_20}>",0.61547014,0.56477626
"67","<{saml.status.DS_7_21},{saml.status.DS_7_69}>",0.61534128,0.56280004
"68","<{saml.status.DS_7_69,saml.status.DS_7_67},{saml.status.DS_7_20}>",0.61469784,0.51095828
"69","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_67},{saml.status.DS_7_20}>",0.6127459,0.50670296
"70","<{saml.status.DS_7_20,saml.status.DS_7_67},{saml.status.DS_7_20}>",0.61169269,0.51033932
"71","<{saml.status.DS_7_69,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.61018642,0.199081373
"72","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.61018642,0.199081373
"73","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.60755484,0.196700423
